b0154,GCF_000005845.2,NP_414696.1,426,1-426,426,COG0001,COG0001,0,631.0,1.0e-200,432,4-429
b3958,GCF_000005845.2,NP_418393.1,334,1-334,334,COG0002,COG0002,0,415.0,1.2e-145,349,2-342
b0451,GCF_000005845.2,NP_414985.1,428,1-428,428,COG0004,COG0004,0,404.0,5.41e-139,409,2-403
b2407,GCF_000005845.2,NP_416902.1,277,1-277,277,COG0005,COG0005,0,249.0,7.24e-83,262,1-262
b2385,GCF_000005845.2,NP_416886.1,361,1-361,361,COG0006,COG0006,0,287.0,1.38e-94,384,11-382
b2908,GCF_000005845.2,NP_417384.1,441,1-441,441,COG0006,COG0006,0,284.0,1.81e-92,384,2-375
b3847,GCF_000005845.2,NP_418289.1,443,1-443,443,COG0006,COG0006,0,172.0,3.91e-49,384,9-375
b3368,GCF_000005845.2,NP_417827.1,457,212-457,246,COG0007,COG0007,1,329.0,3.48e-112,244,1-243
b0144,GCF_000005845.2,NP_414686.3,308,1-308,308,COG0008,COG0008,2,304.0,1.05e-100,472,1-317
b0680,GCF_000005845.2,NP_415206.1,554,1-554,554,COG0008,COG0008,0,425.0,1.99e-144,472,1-472
b2400,GCF_000005845.2,NP_416899.1,471,1-471,471,COG0008,COG0008,0,526.0,1.0e-200,472,9-472
b1267,GCF_000005845.2,NP_415783.6,206,1-206,206,COG0009,COG0009,0,241.0,3.03e-81,211,1-204
b3282,GCF_000005845.2,NP_417741.1,190,1-190,190,COG0009,COG0009,0,197.0,3.67e-64,211,8-197
b2937,GCF_000005845.2,NP_417412.1,306,1-306,306,COG0010,COG0010,0,241.0,2.02e-78,305,1-305
b1203,GCF_000005845.2,NP_415721.1,363,1-363,363,COG0012,COG0012,0,515.0,1.0e-200,372,1-372
b2697,GCF_000005845.2,NP_417177.1,876,1-876,876,COG0013,COG0013,0,1198.0,1.0e-200,879,4-879
b0243,GCF_000005845.2,NP_414778.1,417,1-417,417,COG0014,COG0014,0,600.0,1.0e-200,417,4-417
b1131,GCF_000005845.2,NP_415649.1,456,1-456,456,COG0015,COG0015,0,418.0,1.33e-143,438,1-436
b1714,GCF_000005845.2,NP_416229.1,327,1-327,327,COG0016,COG0016,0,458.0,5.19e-163,335,3-335
b0930,GCF_000005845.2,NP_415450.1,466,1-466,466,COG0017,COG0017,0,535.0,1.0e-200,435,2-435
b1876,GCF_000005845.2,NP_416390.1,577,1-577,577,COG0018,COG0018,0,636.0,1.0e-200,577,1-577
b2838,GCF_000005845.2,NP_417315.1,420,1-420,420,COG0019,COG0019,0,362.0,7.41e-123,394,1-394
b0174,GCF_000005845.2,NP_414716.1,253,1-253,253,COG0020,COG0020,0,342.0,5.68e-120,245,1-245
b2465,GCF_000005845.2,NP_416960.1,667,1-667,667,COG0021,COG0021,0,1041.0,1.0e-200,663,5-662
b2935,GCF_000005845.2,YP_026188.1,663,1-663,663,COG0021,COG0021,0,1055.0,1.0e-200,663,3-662
b1282,GCF_000005845.2,NP_415798.2,108,1-108,108,COG0023,COG0023,0,100.0,7.37e-29,104,1-102
b0168,GCF_000005845.2,NP_414710.1,264,1-264,264,COG0024,COG0024,0,356.0,4.64e-125,255,1-255
b4065,GCF_000005845.2,NP_418489.1,549,1-449,449,COG0025,COG0025,1,246.0,8.31e-76,429,6-429
b0522,GCF_000005845.2,NP_415055.1,355,1-355,355,COG0026,COG0026,0,421.0,1.42e-147,375,1-375
b1849,GCF_000005845.2,NP_416363.1,392,1-392,392,COG0027,COG0027,0,622.0,1.0e-200,394,1-394
b0077,GCF_000005845.2,YP_025294.2,574,1-574,574,COG0028,COG0028,0,660.0,1.0e-200,550,1-549
b0871,GCF_000005845.2,NP_415392.1,572,1-572,572,COG0028,COG0028,0,463.0,5.92e-158,550,1-547
b2373,GCF_000005845.2,NP_416874.1,564,1-564,564,COG0028,COG0028,0,393.0,1.33e-130,550,1-534
b3671,GCF_000005845.2,NP_418127.1,562,1-562,562,COG0028,COG0028,0,611.0,1.0e-200,550,3-549
b2574,GCF_000005845.2,NP_417069.1,540,1-540,540,COG0029,COG0029,0,717.0,1.0e-200,518,1-518
b0051,GCF_000005845.2,NP_414593.1,273,1-273,273,COG0030,COG0030,0,333.0,6.68e-116,259,4-259
b2414,GCF_000005845.2,NP_416909.1,323,1-323,323,COG0031,COG0031,0,366.0,1.94e-127,300,1-300
b2421,GCF_000005845.2,NP_416916.1,303,1-303,303,COG0031,COG0031,0,377.0,4.31e-132,300,2-300
b0688,GCF_000005845.2,NP_415214.1,546,1-546,546,COG0033,COG0033,0,729.0,1.0e-200,524,1-523
b2312,GCF_000005845.2,NP_416815.1,505,1-505,505,COG0034,COG0034,0,618.0,1.0e-200,470,4-470
b2498,GCF_000005845.2,NP_416993.2,208,1-208,208,COG0035,COG0035,0,285.0,8.31e-99,210,2-210
b3386,GCF_000005845.2,NP_417845.1,225,1-225,225,COG0036,COG0036,0,309.0,9.59e-108,220,1-220
b4085,GCF_000005845.2,NP_418509.1,231,1-231,231,COG0036,COG0036,0,252.0,5.06e-85,220,4-220
b4301,GCF_000005845.2,NP_418721.1,210,1-210,210,COG0036,COG0036,0,223.0,5.11e-74,220,4-216
b0188,GCF_000005845.2,NP_414730.1,432,1-293,293,COG0037,COG0037,1,196.0,1.4e-59,298,13-287
b1344,GCF_000005845.2,NP_415860.1,311,1-311,311,COG0037,COG0037,0,205.0,2.36e-64,298,1-270
b0155,GCF_000005845.2,NP_414697.1,473,1-473,473,COG0038,COG0038,0,234.0,9.0e-72,443,15-439
b1592,GCF_000005845.2,NP_416109.2,418,1-418,418,COG0038,COG0038,0,204.0,5.45e-61,443,14-432
b2389,GCF_000005845.2,NP_416890.1,418,1-418,418,COG0038,COG0038,0,131.0,1.21e-33,443,5-431
b3236,GCF_000005845.2,NP_417703.1,312,1-312,312,COG0039,COG0039,0,247.0,1.97e-80,313,1-313
